,Factor1,Factor2
2020-03-02,2.577718787871176,0.5221479394358316
2020-03-03,-0.07756781986118516,0.4069176899934938
2020-03-04,-0.5689340605984673,2.014827319072876
2020-03-05,-2.9398330285786014,0.0008959669591789288
2020-03-06,-1.8855705400000118,-0.6667100597106905
2020-03-07,1.7993974542167566,-1.9793056513368588
2020-03-08,3.717714321400644,-1.0753292651457995
2020-03-09,2.0792815524506203,0.49412111771140055
2020-03-10,3.737527172976719,-1.7899154720685395
2020-03-11,0.9401981635245412,-0.4393029420942513
2020-03-12,0.08903203857804343,-0.05832999388834424
2020-03-13,0.9530718276424796,-0.09255054212057803
2020-03-14,4.33272431332115,0.9210791033549237
2020-03-15,-0.32752866122772467,1.829113182214544
2020-03-16,4.712671104604155,1.5116376197911119
2020-03-17,-4.87516144232141,0.5823885314193287
2020-03-18,1.300168113450485,0.6208450250979438
2020-03-19,0.3591268695011258,0.21567880165885162
2020-03-20,-1.88419926520476,-0.11315331084212027
2020-03-21,0.2629490557142245,-0.6425640755755668
2020-03-22,-2.5050032125692225,-2.5595193078922653
2020-03-23,-0.643086813325939,1.3532852625802865
2020-03-24,0.5503536440016686,-0.5584658855174583
2020-03-25,2.4723508155341345,0.038132489736941416
2020-03-26,-0.7210437563933418,-2.0597954374772884
2020-03-27,-0.7720657917612374,-1.785557906584663
2020-03-28,-1.6028880245822212,-0.5003314550038255
2020-03-29,0.9315642487040723,-2.3093088776101136
2020-03-30,2.261187398494634,1.2773192352861749
2020-03-31,-2.2906163989570825,0.443906907527299
2020-04-01,0.40800846128475615,1.5263893034895644
2020-04-02,0.7227348938080338,-0.03353224126481604
2020-04-03,0.183434387456749,-0.4762769239790552
2020-04-04,-1.48823313956916,0.10553044564283193
2020-04-05,-0.848445046564181,1.382976774566337
2020-04-06,-0.029275739998275485,0.9539421160405276
2020-04-07,-1.6132599238245868,0.35995559045990005
2020-04-08,0.06964778652744119,1.1920953223606527
2020-04-09,1.2426839390810807,0.8680646036725264
2020-04-10,0.2566361552685597,2.1338502943261366
2020-04-11,-0.8507840398714385,-0.6546480193566766
2020-04-12,-3.259002958916203,-0.22116779155353467
2020-04-13,-0.22398128171225992,0.5412018254535514
2020-04-14,-0.4921936615960875,-0.636921390898133
2020-04-15,-1.0044260225028256,0.8717275414996055
2020-04-16,-0.36891100278768785,-1.9004891436818123
2020-04-17,1.9830090324148972,1.9648110943041726
2020-04-18,3.825104488089854,-2.283613980285367
2020-04-19,-1.3480038715659155,-0.7255658977001357
2020-04-20,1.1116009818914192,0.049227835242455664
2020-04-21,-0.7723139456866253,-0.7263014922843753
2020-04-22,-2.6509214129493914,0.9295196964473948
2020-04-23,-1.8059954428862603,0.5665434760346855
